Amplitude,Shift,Frequency,Element Ratio,Error
1.0472,0.0,11.0,0.1,0.059753123245320804
1.0472,0.0,11.0,0.31622776601683794,0.21541519582184515
1.0472,0.0,11.0,1.0,0.3395806480855943
1.0472,0.0,11.0,3.1622776601683795,0.21100903544143507
1.0472,0.0,11.0,10.0,0.05878088294741617
1.0472,1.5708,11.0,0.1,0.08567701417106795
1.0472,1.5708,11.0,0.31622776601683794,0.29380729935633826
1.0472,1.5708,11.0,1.0,0.47296934101062893
1.0472,1.5708,11.0,3.1622776601683795,0.2904852357880272
1.0472,1.5708,11.0,10.0,0.08953834757090307
1.0472,3.14159,11.0,0.1,0.18481795527013403
1.0472,3.14159,11.0,0.31622776601683794,0.6631487160698001
1.0472,3.14159,11.0,3.1622776601683795,0.6638540659642371
1.0472,3.14159,11.0,10.0,0.18440318853289075
1.0472,4.71239,11.0,0.1,0.08002557543492612
1.0472,4.71239,11.0,0.31622776601683794,0.2769500539210607
1.0472,4.71239,11.0,1.0,0.4600970903767805
1.0472,4.71239,11.0,3.1622776601683795,0.2837417589919461
1.0472,4.71239,11.0,10.0,0.08421374801565738
1.0472,6.28319,11.0,0.1,0.060404890593960904
1.0472,6.28319,11.0,0.31622776601683794,0.21360391955190372
1.0472,6.28319,11.0,1.0,0.34039538790636387
1.0472,6.28319,11.0,3.1622776601683795,0.21260031981290417
1.0472,6.28319,11.0,10.0,0.05968104789144668
0.1309,0.0,16.0,0.1,0.5649971644652266
0.1309,0.0,16.0,0.31622776601683794,0.5663104087678545
0.1309,0.0,16.0,1.0,0.5665159639866749
0.1309,0.0,16.0,3.1622776601683795,0.5658644221909334
0.1309,0.0,16.0,10.0,0.5653402181318817
0.1309,1.5708,16.0,0.1,0.6080718975825958
0.1309,1.5708,16.0,0.31622776601683794,0.6685479430806566
0.1309,1.5708,16.0,1.0,0.7152681844410601
0.1309,1.5708,16.0,3.1622776601683795,0.6664889246705561
0.1309,1.5708,16.0,10.0,0.6066571064257782
0.1309,3.14159,16.0,0.1,0.6542223126659537
0.1309,3.14159,16.0,0.31622776601683794,0.815473194467053
0.1309,3.14159,16.0,1.0,1.0
0.1309,3.14159,16.0,3.1622776601683795,0.8157228876355774
0.1309,3.14159,16.0,10.0,0.6548250575541487
0.1309,4.71239,16.0,0.1,0.6058719339411309
0.1309,4.71239,16.0,0.31622776601683794,0.662021302459738
0.1309,4.71239,16.0,1.0,0.708216153251252
0.1309,4.71239,16.0,3.1622776601683795,0.6648084358465953
0.1309,4.71239,16.0,10.0,0.6057138005182208
0.1309,6.28319,16.0,0.1,0.5654370359377081
0.1309,6.28319,16.0,0.31622776601683794,0.5660355902597881
0.1309,6.28319,16.0,1.0,0.5666401904009168
0.1309,6.28319,16.0,3.1622776601683795,0.5659163091427015
0.1309,6.28319,16.0,10.0,0.5657974293647537
0.35997,0.0,16.0,0.1,0.2842150155562586
0.35997,0.0,16.0,0.31622776601683794,0.2985982861619296
0.35997,0.0,16.0,1.0,0.30740331249483177
0.35997,0.0,16.0,3.1622776601683795,0.29778844700658746
0.35997,0.0,16.0,10.0,0.2845633736524292
0.35997,1.5708,16.0,0.1,0.34874143027357696
0.35997,1.5708,16.0,0.31622776601683794,0.45086190771998025
0.35997,1.5708,16.0,1.0,0.5319799726407489
0.35997,1.5708,16.0,3.1622776601683795,0.44695231811483926
0.35997,1.5708,16.0,10.0,0.34620550536271455
0.35997,3.14159,16.0,0.1,0.4231873032795168
0.35997,3.14159,16.0,0.31622776601683794,0.688122180203089
0.35997,3.14159,16.0,1.0,1.0
0.35997,3.14159,16.0,3.1622776601683795,0.6903729942567078
0.35997,3.14159,16.0,10.0,0.4227591918228147
0.35997,4.71239,16.0,0.1,0.34390763387624895
0.35997,4.71239,16.0,0.31622776601683794,0.44070855236887163
0.35997,4.71239,16.0,1.0,0.5204753448291409
0.35997,4.71239,16.0,3.1622776601683795,0.447082245298231
0.35997,4.71239,16.0,10.0,0.3455772346600725
0.35997,6.28319,16.0,0.1,0.28445392045091483
0.35997,6.28319,16.0,0.31622776601683794,0.298393340984051
0.35997,6.28319,16.0,1.0,0.30712547098911536
0.35997,6.28319,16.0,3.1622776601683795,0.29779037500685435
0.35997,6.28319,16.0,10.0,0.28481882868969516
0.58905,0.0,16.0,0.1,0.12147375697568942
0.58905,0.0,16.0,0.31622776601683794,0.16755493016504136
0.58905,0.0,16.0,1.0,0.20052864444306798
0.58905,0.0,16.0,3.1622776601683795,0.1670599842311319
0.58905,0.0,16.0,10.0,0.12140242165912275
0.58905,1.5708,16.0,0.1,0.18902448863901525
0.58905,1.5708,16.0,0.31622776601683794,0.3282102732990881
0.58905,1.5708,16.0,1.0,0.4192455242591674
0.58905,1.5708,16.0,3.1622776601683795,0.32683378158599236
0.58905,1.5708,16.0,10.0,0.18564941302114008
0.58905,3.14159,16.0,0.1,0.2811422761290176
0.58905,3.14159,16.0,0.31622776601683794,0.6383117028927934
0.58905,3.14159,16.0,3.1622776601683795,0.6406984795932638
0.58905,3.14159,16.0,10.0,0.28069236277879955
0.58905,4.71239,16.0,0.1,0.18314379970711728
0.58905,4.71239,16.0,0.31622776601683794,0.31954208065816503
0.58905,4.71239,16.0,1.0,0.43304514506654035
0.58905,4.71239,16.0,3.1622776601683795,0.3215046973770994
0.58905,4.71239,16.0,10.0,0.18401432102245535
0.58905,6.28319,16.0,0.1,0.12205181471121136
0.58905,6.28319,16.0,0.31622776601683794,0.16590975419057155
0.58905,6.28319,16.0,1.0,0.20026100425993068
0.58905,6.28319,16.0,3.1622776601683795,0.16767979523551735
0.58905,6.28319,16.0,10.0,0.12178148331877395
0.81812,0.0,16.0,0.1,0.025317519008878957
0.81812,0.0,16.0,0.31622776601683794,0.12149368414838481
0.81812,0.0,16.0,1.0,0.20086555137128684
0.81812,0.0,16.0,3.1622776601683795,0.12641522001056965
0.81812,0.0,16.0,10.0,0.025999193004737443
0.81812,1.5708,16.0,0.1,0.08108253631993863
0.81812,1.5708,16.0,0.31622776601683794,0.2634706803246417
0.81812,1.5708,16.0,1.0,0.41252970121990473
0.81812,1.5708,16.0,3.1622776601683795,0.25809123539042295
0.81812,1.5708,16.0,10.0,0.07823836197795561
0.81812,3.14159,16.0,0.1,0.18125244481025396
0.81812,3.14159,16.0,0.31622776601683794,0.6225742785711605
0.81812,3.14159,16.0,3.1622776601683795,0.6216779792232004
0.81812,3.14159,16.0,10.0,0.1835377111387698
0.81812,4.71239,16.0,0.1,0.07269192107766805
0.81812,4.71239,16.0,0.31622776601683794,0.24935171801243283
0.81812,4.71239,16.0,1.0,0.4005723350967177
0.81812,4.71239,16.0,3.1622776601683795,0.25198162867741236
0.81812,4.71239,16.0,10.0,0.07389392598171968
0.81812,6.28319,16.0,0.1,0.026114868299316127
0.81812,6.28319,16.0,0.31622776601683794,0.1268119094612998
0.81812,6.28319,16.0,1.0,0.20085587567646496
0.81812,6.28319,16.0,3.1622776601683795,0.12636589654999525
0.81812,6.28319,16.0,10.0,0.02606693398850582
1.0472,0.0,16.0,0.1,0.020911651842951177
1.0472,0.0,16.0,0.31622776601683794,0.14628059539367314
1.0472,0.0,16.0,1.0,0.2787394411460219
1.0472,0.0,16.0,3.1622776601683795,0.14522457305814285
1.0472,0.0,16.0,10.0,0.022357131824707235
1.0472,1.5708,16.0,0.1,0.009579336278822384
1.0472,1.5708,16.0,0.31622776601683794,0.23170814564013922
1.0472,1.5708,16.0,1.0,0.4220337765427849
1.0472,1.5708,16.0,3.1622776601683795,0.2279595779778069
1.0472,1.5708,16.0,10.0,0.011323038494043883
1.0472,3.14159,16.0,0.1,0.11355872603401347
1.0472,3.14159,16.0,0.31622776601683794,0.6117644867556185
1.0472,3.14159,16.0,3.1622776601683795,0.6156039947491074
1.0472,3.14159,16.0,10.0,0.11416814932557773
1.0472,4.71239,16.0,0.1,0.00034280588849542134
